receipt_id,tier,directness,outcome_class,effect_direction,n_claims
PMC4693453_chronic_mtor_inhibition_in_mice_with_rapamycin_alters_t_b_my,C1,mechanistic,immune_inflammation,negative,47
PMC6262855_the_effects_of_aicar_and_rapamycin_on_mitochondrial_function,B2,indirect,contextual_other,null,47
PMC10781157_role_of_maraviroc_and_or_rapamycin_in_the_liver_of_il10_ko_m,C1,mechanistic,contextual_other,positive,42
PMC9842044_intra_articular_injection_of_rapamycin_microparticles_preven,B2,indirect,contextual_other,unclear,41
PMC9983852_rapamycin_suppresses_inflammation_and_increases_the_interact,B2,indirect,immune_inflammation,negative,41
PMC10185870_rapamycin_treatment_increases_survival_autophagy_biomarkers_,C1,mechanistic,mortality_survival,unclear,38
PMC12391273_rapamycin_coated_selenium_nanoparticles_relieve_oxidative_se,B2,indirect,contextual_other,null,38
PMC2848616_inhibition_of_mtor_by_rapamycin_abolishes_cognitive_deficits,C1,mechanistic,contextual_other,negative,38
PMC6001891_short_term_low_dose_mtorc1_inhibition_in_aged_rats_counter_r,C1,mechanistic,dosing_pharmacokinetics,null,38
PMC12092812_rapamycin_treatment_for_alzheimer_s_disease_and_related_deme,B2,review,cardiometabolic,null,37
PMC12771342_rapamycin_preserves_cardiac_function_in_autoimmune_myocardit,B2,indirect,immune_inflammation,null,37
PMC9889681_effects_of_sirolimus_treatment_on_patients_with_thalassemia_,B2,indirect,contextual_other,positive,34
PMC12422820_what_is_the_clinical_evidence_to_support_off_label_rapamycin,B2,indirect,immune,unclear,33
PMC6351839_rapamycin_improves_healthspan_but_not_inflammaging_in_nf_b1_,C1,mechanistic,cardiometabolic,mixed,32
PMC4498358_neuroprotective_effect_of_rapamycin_on_spinal_cord_injury_vi,B2,indirect,contextual_other,positive,30
PMID33977284_targeting_the_biology_of_ageing_with_mtor_inhibitors_to_impr,B2,review,immune_inflammation,null,28
PMC5811247_rapamycin_prevents_the_intervertebral_disc_degeneration_via_,B2,indirect,contextual_other,unclear,26
PMC9022825_the_mtor_inhibitor_rapamycin_protects_from_premature_cellula,B2,indirect,safety_comorbidity,null,26
PMC7069020_rapamycin_promotes_endothelial_mesenchymal_transition_during,B2,indirect,contextual_other,null,21
PMC10456585_the_mtor_inhibitor_rapamycin_counteracts_follicle_activation,B2,indirect,contextual_other,null,20
PMC12558976_sirolimus_use_in_allogeneic_hematopoietic_cell_transplant_re,B2,indirect,immune,null,20
PMC11063183_primary_prophylaxis_with_mtor_inhibitor_enhances_t_cell_effe,B2,indirect,immune,null,19
PMC12670868_sirolimus_for_the_treatment_of_graves_orbitopathy,B2,indirect,contextual_other,null,18
PMC8805398_rapamycin_acarbose_and_17_estradiol_share_common_mechanisms_,B2,indirect,immune_inflammation,null,16
PMC5371228_epigenetic_aging_signatures_in_mice_livers_are_slowed_by_dwa,C1,mechanistic,contextual_other,null,15
PMC10993488_evaluating_the_effect_of_rapamycin_treatment_in_alzheimer_s_,C1,mechanistic,contextual_other,null,14
PMC5385881_progressive_slowdown_prevention_of_cellular_senescence_by_cd,B2,indirect,skeletal_fracture_bone,unclear,14
PMC8599537_dna_methylation_age_analysis_of_rapamycin_in_common_marmoset,B2,indirect,longevity,null,14
PMC7870298_rapamycin_treatment_of_tendon_stem_progenitor_cells_reduces_,B2,indirect,contextual_other,null,13
PMC7892968_rapamycin_protects_skin_fibroblasts_from_uva_induced_photoag,B2,indirect,longevity,negative,13
PMC9886774_rapamycin_not_dietary_restriction_improves_resilience_agains,B1,review,contextual_other,positive,13
DOI_10_1101_2024_08_21_24312372_safety_and_efficacy_of_rapamycin_on_healthspan_metrics_after,B1,review,safety_comorbidity,mixed,12
PMC4975851_exploration_of_a_potent_pi3_kinase_mtor_inhibitor_as_a_novel,B2,indirect,contextual_other,null,11
PMC5418203_rapamycin_inhibits_the_secretory_phenotype_of_senescent_cell,C1,mechanistic,immune,null,11
PMC8190242_effect_of_rapamycin_on_aging_and_age_related_diseases_past_a,B2,indirect,contextual_other,null,11
PMC6925069_topical_rapamycin_reduces_markers_of_senescence_and_aging_in,B2,review,contextual_other,null,10
DOI_10_1056_nejmoa0907419_sirolimus_and_kidney_growth_in_autosomal_dominant_polycystic,B1,review,safety,unclear,9
DOI_10_1101_2022_10_06_511121_rapamycin_not_dietary_restriction_improves_resilience_agains,B1,review,contextual_other,positive,9
PMC12755184_a_placebo_controlled_exploratory_trial_of_sirolimus_for_toci,B2,review,contextual_other,null,9
PMC5270685_gerosuppression_by_pan_mtor_inhibitors,B2,indirect,immune,null,7
PMC8245044_maternal_diabetes_induces_senescence_and_neural_tube_defects,B2,indirect,immune,null,7
DOI_10_1101_2025_08_25_671822_the_gerotherapeutic_drugs_rapamycin_acarbose_and_phenylbutyr,B1,review,contextual_other,mixed,6
PMC12226543_rapamycin_for_longevity_the_pros_the_cons_and_future_perspec,B2,indirect,contextual_other,null,6
DOI_10_1093_gerona_glq178_rapamycin_but_not_resveratrol_or_simvastatin_extends_life_sp,C1,mechanistic,longevity,unclear,5
DOI_10_1101_2024_08_12_24311432_the_bioavailability_of_compounded_and_generic_rapamycin_in_n,B2,review,contextual_other,null,5
DOI_10_1101_2025_09_12_675777_meta_analysis_reveals_reproducible_rapamycin_induced_shifts,B2,review,immune,null,5
DOI_10_1111_acel_12203_altered_proteome_turnover_and_remodeling_by_short_term_calor,B1,review,contextual_other,unclear,5
PMC11825221_unexpected_increase_in_bone_mineral_density_with_rapamycin_a,B2,indirect,dosing_pharmacokinetics,unclear,5
DOI_10_1681_asn_2004080660_rapamycin_markedly_slows_disease_progression_in_a_rat_model,C1,mechanistic,safety,unclear,4
DOI_10_3354_ab00673_effects_of_rapamycin_on_life_span_and_on_expression_of_tor_a,B1,review,longevity,unclear,4
PMC3191182_elimination_of_proliferating_cells_unmasks_the_shift_from_se,B2,indirect,immune,null,4
PMID29408453_a_randomized_control_trial_to_establish_the_feasibility_and_,B2,review,safety_comorbidity,null,4
DOI_10_1101_2023_06_12_544619_late_life_rapamycin_treatment_enhances_cardiomyocyte_relaxat,B1,review,contextual_other,unclear,3
DOI_10_1101_2025_03_10_642477_rapamycin_does_not_compromise_physical_performance_or_muscle,B2,review,cardiometabolic,unclear,3
DOI_10_1158_1557_3265_sabcs24_p3_06_27_abstract_p3_06_27_immunotherapy_and_pi3k_mtor_inhibition_com,B2,review,longevity,null,3
HIT_everolimus_and_or_exercise_to_prevent_bone_loss_in_postmenop,B2,review,healthspan_qol,null,3
HIT_exercise_and_low_dose_rapamycin_in_older_adults_with_cad_car,B2,review,dosing_pharmacokinetics,unclear,3
PMC5723685_towards_natural_mimetics_of_metformin_and_rapamycin,B2,indirect,contextual_other,null,3
PMC5752566_while_reinforcing_cell_cycle_arrest_rapamycin_and_torins_sup,B2,indirect,contextual_other,null,3
DOI_10_1101_2022_02_18_481092_rapamycin_treatment_during_development_extends_lifespan_and,B1,review,cardiometabolic,unclear,2
DOI_10_1101_2024_05_14_594256_inhibition_of_mtorc1_by_rapamycin_results_in_feedback_activa,C1,mechanistic,contextual_other,null,2
DOI_10_1111_acel_12194_rapamycin_mediated_lifespan_increase_in_mice_is_dose_and_sex,C1,mechanistic,longevity,unclear,2
HIT_resistance_training_and_rapamycin_to_enhance_bone_formation_,B2,review,skeletal_fracture_bone,null,2
PMID35914953_mymd_1_improves_health_span_and_prolongs_life_span_in_old_mi,C1,mechanistic,contextual_other,null,2
DOI_10_1093_gerona_glv307_rapamycin_attenuates_age_associated_changes_in_tibialis_ante,B2,review,contextual_other,null,1
DOI_10_1101_2024_02_19_24302922_evaluating_the_effect_of_rapamycin_treatment_in_alzheimer_s,B2,review,contextual_other,null,1
DOI_10_1111_acel_12109_late_life_rapamycin_treatment_reverses_age_related_heart_dys,B2,review,contextual_other,null,1
DOI_10_1111_j_1474_9726_2011_00791_x_lifelong_rapamycin_administration_ameliorates_age_dependent,B2,review,contextual_other,null,1
DOI_10_1111_j_1474_9726_2012_00832_x_rapamycin_slows_aging_in_mice,C1,mechanistic,contextual_other,null,1
DOI_10_3389_fcell_2026_1745944_pi3k_mtor_inhibition_attenuates_cigarette_smoke_induced_sene,B2,review,cardiometabolic,null,1
HIT_cognition_age_and_rapamycin_effectiveness_downregulation_of_,B2,review,contextual_other,null,1
HIT_impacts_of_mechanistic_target_of_rapamycin_mtor_inhibition_o,C1,mechanistic,cardiometabolic,null,1
HIT_rapamycin_effects_on_alzheimer_s_and_cognitive_health,B2,review,contextual_other,null,1
HIT_safety_and_efficacy_of_sirolimus_for_hiv_reservoir_reduction,B2,review,safety_comorbidity,null,1
HIT_sirolimus_for_advanced_age_related_macular_degeneration,B2,review,contextual_other,null,1
PMC11316767_calorie_restriction_and_rapamycin_distinctly_mitigate_aging_,C1,mechanistic,contextual_other,null,1
PMC13052144_targeted_therapies_in_infantile_hemangiomas_and_vascular_mal,B2,indirect,contextual_other,null,1
PMID25540326_mtor_inhibition_improves_immune_function_in_the_elderly,B1,review,immune,unclear,1
