receipt_id,tier,directness,outcome_class,effect_direction,n_claims
PMC12972406_development_of_a_multimorbidity_health_conditions_outcome_in,B2,indirect,cardiometabolic,mixed,78
PMC7415503_changes_in_body_weight_adherence_and_appetite_during_2_years,B2,indirect,contextual_other,mixed,78
PMC10609268_effect_of_time_restricted_eating_versus_daily_calorie_restri,B2,indirect,cardiometabolic,unclear,77
PMC7285957_association_of_fto_and_adrb2_gene_variation_with_energy_rest,B2,indirect,cardiometabolic,null,77
PMC11510029_time_restricted_eating_versus_daily_calorie_restriction_effe,B2,indirect,cardiometabolic,positive,76
PMC12022231_severe_dietary_energy_restriction_for_compensated_cirrhosis_,B2,indirect,cardiometabolic,null,76
PMC5295310_serum_polychlorinated_biphenyls_increase_and_oxidative_stres,B2,indirect,deficiency_prevalence,negative,75
PMC11880040_multi_study_feasibility_analysis_on_a_composite_biomarker_of,B2,indirect,immune,negative,71
PMC4717266_effects_of_2_year_calorie_restriction_on_circulating_levels_,A1,direct,contextual_other,null,70
PMC4512223_a_human_thrifty_phenotype_associated_with_less_weight_loss_d,B2,indirect,contextual_other,negative,69
PMC9108547_effects_of_intermittent_fasting_in_human_compared_to_a_non_i,B2,review,contextual_other,positive,69
PMC7898726_effects_of_moderate_sleep_restriction_during_8_week_calorie_,B2,indirect,contextual_other,null,66
PMC10861196_calorie_restriction_reduces_biomarkers_of_cellular_senescenc,B2,indirect,contextual_other,null,64
PMC11808004_optimal_calorie_restriction_threshold_effect_of_fatmax_exerc,B2,indirect,contextual_other,unclear,64
PMC12937505_calorie_restriction_effects_on_aging_learning_performance_an,B2,indirect,contextual_other,null,63
PMC5986503_pilot_study_examining_the_influence_of_potassium_bicarbonate,B2,indirect,dosing_pharmacokinetics,unclear,63
PMC4446567_caloric_restriction_effect_on_proinflammatory_cytokines_grow,B2,indirect,immune_inflammation,negative,61
PMC6412676_effect_of_energy_restriction_on_eating_behavior_traits_and_p,B2,indirect,cardiometabolic,null,60
PMC10726900_calorie_restriction_modulates_the_transcription_of_genes_rel,B2,indirect,contextual_other,unclear,59
PMC11990601_time_restricted_eating_versus_daily_calorie_restriction_effe,B2,indirect,cardiometabolic,mixed,59
PMC10820472_impact_of_intermittent_fasting_and_or_caloric_restriction_on,B1,review,contextual_other,unclear,58
PMC11425986_comparing_caloric_restriction_regimens_for_effective_weight_,B1,review,cardiometabolic,unclear,58
PMC3478522_effects_of_aerobic_versus_resistance_exercise_without_calori,B2,indirect,cardiometabolic,null,55
PMC11368853_effect_of_5_2_intermittent_fasting_diet_versus_daily_calorie,B2,indirect,cardiometabolic,unclear,54
PMC5244361_a_signature_of_renal_stress_resistance_induced_by_short_term,B2,indirect,contextual_other,null,54
PMC9364707_after_the_spotlight_are_evidence_based_recommendations_for_r,B2,review,contextual_other,null,54
PMC10804344_the_effects_of_early_time_restricted_eating_plus_daily_calor,B2,indirect,cardiometabolic,null,53
PMC4016246_status_of_selected_nutrients_in_obese_dogs_undergoing_calori,B2,indirect,cardiometabolic,null,53
PMC6656607_cognitive_effects_of_adding_caloric_restriction_to_aerobic_e,B2,indirect,contextual_other,null,53
PMC5247583_caloric_restriction_improves_health_and_survival_of_rhesus_m,B2,indirect,mortality_survival,unclear,52
PMC6335535_influence_of_dietary_restriction_and_low_intensity_exercise_,B2,indirect,cardiometabolic,null,52
PMC4234060_reducing_liver_fat_by_low_carbohydrate_caloric_restriction_t,B2,indirect,cardiometabolic,null,50
PMC8623687_short_term_caloric_restriction_and_biofeedback_enhance_psych,B2,indirect,contextual_other,positive,49
PMC12348356_does_energy_restriction_and_loss_of_body_fat_account_for_the,B2,indirect,cardiometabolic,unclear,48
PMC12430449_effect_of_time_restricted_eating_versus_daily_calorie_restri,B2,indirect,cardiometabolic,positive,47
PMC5031958_effect_of_intermittent_versus_chronic_calorie_restriction_on,B2,review,safety_comorbidity,null,47
PMC7602440_long_term_dietary_restriction_of_advanced_glycation_end_prod,B2,review,contextual_other,null,47
PMC9071468_effect_of_severe_compared_with_moderate_energy_restriction_o,B2,review,cardiometabolic,null,47
PMC5946208_resistance_training_prevents_muscle_loss_induced_by_caloric_,B2,review,contextual_other,null,46
PMC8634604_calorie_restriction_with_exercise_intervention_improves_infl,B1,review,immune,positive,46
PMC10107279_intermittent_fasting_and_protein_pacing_are_superior_to_calo,B2,indirect,contextual_other,unclear,45
PMC10828374_reduction_in_metabolic_noise_reveals_rejuvenation_following_,B2,indirect,contextual_other,null,43
PMC3010676_long_term_effect_of_mediterranean_style_diet_and_calorie_res,B2,indirect,cardiometabolic,null,43
PMC11510157_is_fasting_superior_to_continuous_caloric_restriction_for_we,B2,review,cardiometabolic,null,42
PMC9370806_the_effects_of_intermittent_fasting_and_continuous_energy_re,B2,indirect,contextual_other,null,40
PMC5847862_effects_of_2_years_of_caloric_restriction_on_oxidative_statu,B2,indirect,deficiency_prevalence,unclear,38
PMC9180920_the_effectiveness_of_intermittent_fasting_time_restricted_fe,B2,review,safety_comorbidity,positive,37
PMC6395700_maternal_age_alters_offspring_lifespan_fitness_and_lifespan_,B2,indirect,longevity,mixed,36
PMC9346980_caloric_restriction_and_weight_loss_are_primary_factors_in_t,B2,indirect,cardiometabolic,negative,36
PMC8170788_effect_of_probiotic_supplementation_along_with_calorie_restr,B2,review,immune,null,35
PMC12545539_sun_699_post_intervention_sustainability_of_time_restricted_,B2,indirect,contextual_other,null,34
PMC12913024_post_intervention_sustainability_of_time_restricted_eating_v,B2,indirect,contextual_other,unclear,34
PMC9819120_dieting_behavior_characterized_by_caloric_restriction_and_re,B2,indirect,contextual_other,null,34
PMC3546025_whey_protein_and_essential_amino_acids_promote_the_reduction,B2,indirect,cardiometabolic,unclear,33
PMC12158682_comparing_exercise_modalities_during_caloric_restriction_a_s,B2,review,muscle_function,unclear,32
PMC12686577_caloric_restriction_reprograms_adipose_tissues_in_rhesus_mon,B2,indirect,contextual_other,unclear,32
PMC5418198_aging_and_caloric_restriction_impact_adipose_tissue_adiponec,B2,indirect,contextual_other,null,32
PMC11369340_fasting_and_calorie_restriction_modulate_age_associated_immu,B2,indirect,immune,unclear,31
PMC7749612_the_effect_of_fasting_or_calorie_restriction_on_mitophagy_in,B2,review,contextual_other,null,31
PMC8919571_calorie_restriction_improves_metabolic_state_independently_o,B2,indirect,cardiometabolic,null,31
PMC9099935_intermittent_fasting_versus_continuous_calorie_restriction_w,B2,indirect,cardiometabolic,null,31
PMC7164528_dietary_restriction_improves_fitness_of_aging_parents_but_re,B2,indirect,contextual_other,null,30
PMC12251159_a_secondary_analysis_of_caloric_restriction_and_exercise_eff,B2,indirect,cardiometabolic,unclear,28
PMC3501879_short_term_caloric_restriction_normalizes_hypothalamic_neuro,B2,indirect,cardiometabolic,null,28
PMC7898832_two_meal_caloric_restriction_induces_12_hour_rhythms_and_imp,B2,indirect,contextual_other,null,28
PMC8070587_the_ability_of_exercise_to_mitigate_caloric_restriction_indu,B2,review,skeletal_fracture_bone,null,28
PMC11510529_interaction_of_cooking_generated_aerosols_on_the_human_nervo,B2,indirect,contextual_other,null,27
PMC12298767_effects_of_time_restricted_eating_early_and_late_combined_wi,B2,indirect,contextual_other,unclear,27
PMC5872329_differences_in_sirtuin_regulation_in_response_to_calorie_res,B2,indirect,contextual_other,null,27
PMC7589692_does_the_energy_restriction_intermittent_fasting_diet_allevi,B2,indirect,cardiometabolic,positive,27
PMC10420884_exploring_caloric_restriction_in_inpatients_with_eating_diso,B2,indirect,contextual_other,null,25
PMC4601087_ageing_and_caloric_restriction_in_a_marine_planktonic_copepo,B2,indirect,contextual_other,null,25
PMC11969032_latent_trajectories_of_change_in_dietary_restriction_during_,B2,indirect,cardiometabolic,null,19
PMC12762004_adaptations_in_energy_expenditure_following_caloric_restrict,B2,indirect,contextual_other,unclear,19
PMC5541637_effect_of_physical_activity_and_dietary_restriction_interven,B2,review,cardiometabolic,null,18
PMC12067513_food_insecurity_predicts_excessive_exercise_dietary_restrict,B2,indirect,cardiometabolic,null,17
PMC11357322_the_effects_of_caloric_restriction_and_clinical_psychologica,B2,indirect,contextual_other,null,16
PMC3058015_controlled_meal_frequency_without_caloric_restriction_alters,B2,indirect,immune_inflammation,null,16
PMC10819730_effect_of_calorie_restriction_and_intermittent_fasting_regim,B2,review,contextual_other,null,15
PMC12762613_caloric_restriction_and_changes_in_geroscience_blood_based_b,B2,indirect,cardiometabolic,null,14
PMC5627296_sex_dependent_effects_of_caloric_restriction_on_the_ageing_o,B2,indirect,contextual_other,null,14
PMC7071719_dietary_restriction_of_amino_acids_for_cancer_therapy,B2,indirect,muscle_function,null,14
PMC8945872_caloric_restriction_mimetic_2_deoxyglucose_reduces_inflammat,B2,indirect,immune,null,14
PMC9843895_comparison_of_the_effect_of_modified_intermittent_fasting_an,B2,review,cardiometabolic,unclear,14
PMC8681110_effect_of_baseline_bmi_and_il_6_on_gait_speed_response_to_ca,B2,indirect,immune,null,13
PMC9625649_odp004_glucose_profiles_and_insulin_sensitivity_in_adults_wi,B2,indirect,cardiometabolic,null,13
PMC11009534_do_treats_facilitate_the_interpretation_of_findings_on_calor,B2,indirect,contextual_other,null,12
PMC7468870_is_caloric_restriction_associated_with_better_healthy_aging_,B2,review,cardiometabolic,unclear,12
PMC11632361_the_impact_of_continuous_calorie_restriction_and_fasting_on_,B2,indirect,contextual_other,null,11
PMC7741721_nicotinamide_and_sugar_metabolism_associated_with_muscle_mas,B2,indirect,muscle_function,null,11
PMC9766558_impact_of_calorie_restriction_on_plasma_alzheimer_s_disease_,B2,indirect,contextual_other,null,10
PMC12761034_fibroblasts_exposed_to_serum_collected_after_long_term_calor,B2,indirect,cardiometabolic,negative,9
PMC12851108_a_case_of_euglycemic_diabetic_ketoacidosis_with_tirzepatide_,B2,indirect,cardiometabolic,null,8
PMC8680671_appendicular_lean_mass_loss_does_not_impact_physical_perform,B2,indirect,cardiometabolic,null,8
PMC8982510_early_dinner_time_and_caloric_restriction_lapse_contribute_t,B2,indirect,contextual_other,null,8
PMC8071299_effects_of_calorie_restriction_on_health_span_and_insulin_re,B2,indirect,contextual_other,unclear,6
PMC8345941_diabetes_mellitus_and_cardiovascular_diseases_nutraceutical_,B2,indirect,contextual_other,unclear,6
PMC8680521_the_first_evaluation_of_a_geroscience_biomarker_index_tame_b,B2,indirect,frailty,null,6
PMC9766598_does_caloric_restriction_slow_the_process_of_biological_agin,B2,indirect,contextual_other,null,6
PMC10737863_effect_of_long_term_caloric_restriction_on_the_pace_of_biolo,B2,indirect,contextual_other,null,5
PMC12762903_creation_of_a_multimorbidity_health_conditions_index_for_cal,B2,indirect,cardiometabolic,null,5
PMC8680857_the_wake_forest_iasdr_a_resource_for_studying_the_effects_of,B2,indirect,cardiometabolic,null,5
PMC8681193_exercise_modality_affects_older_adult_ct_derived_muscle_and_,B2,indirect,skeletal_fracture_bone,null,5
PMC11026672_effect_of_calorie_restriction_and_intermittent_fasting_on_gl,B2,review,contextual_other,null,4
PMC3200169_impact_of_caloric_and_dietary_restriction_regimens_on_marker,B2,indirect,contextual_other,null,4
PMC7407644_peroxisome_proliferator_activated_receptors_and_caloric_rest,B2,indirect,contextual_other,null,4
PMC5767765_mitochondrial_intermediate_peptidase_is_a_novel_regulator_of,B2,indirect,contextual_other,null,3
PMC6950657_mechanisms_of_calorie_restriction_a_review_of_genes_required,B2,indirect,cardiometabolic,null,3
PMC7696073_peroxisome_proliferator_activated_receptors_as_molecular_lin,C1,mechanistic,contextual_other,null,3
PMC10736169_a_knowledge_driven_bio_behavioral_network_model_of_the_infla,B2,indirect,contextual_other,null,2
PMC10936542_requirements_for_essential_micronutrients_during_caloric_res,B2,indirect,contextual_other,null,2
PMC11485046_clinical_insights_on_caloric_restriction_mimetics_for_mitiga,B2,indirect,contextual_other,null,2
PMC11763027_treating_metabolic_dysregulation_and_senescence_by_caloric_r,B2,indirect,contextual_other,null,2
PMC12762787_caloric_restriction_and_health_aging_and_later_life_outcomes,B2,indirect,cardiometabolic,null,2
PMC12762792_effect_of_long_term_caloric_restriction_on_epigenetic_proxie,B2,indirect,immune,null,2
PMC4924211_caloric_restriction_as_a_strategy_to_improve_vascular_dysfun,B2,indirect,cardiometabolic,null,2
PMC6515465_the_impact_of_caloric_restriction_on_the_epigenetic_signatur,B2,indirect,longevity,null,2
PMC7379067_the_effects_of_meal_timing_and_frequency_caloric_restriction,B2,indirect,contextual_other,null,2
PMC7743141_diet_composition_adherence_to_calorie_restriction_and_cardio,B2,indirect,contextual_other,null,2
PMC7833363_effects_of_caloric_restriction_diet_on_arterial_hypertension,B2,indirect,contextual_other,null,2
PMC8052001_the_influence_of_fasting_and_caloric_restriction_on_inflamma,B2,indirect,immune_inflammation,null,2
PMC8450361_caloric_restriction_may_help_delay_the_onset_of_frailty_and_,B2,indirect,frailty,null,2
PMC10554067_fri315_hyperprolactinemia_in_the_presence_of_severe_calorie_,B2,indirect,cardiometabolic,null,1
PMC11046024_caloric_restriction_sirtuins_and_cardiovascular_diseases,B2,indirect,longevity,unclear,1
PMC11730777_maternal_effect_senescence_and_caloric_restriction_interact_,B2,indirect,longevity,null,1
PMC11852537_evaluating_the_impact_of_caloric_restriction_body_mass_index,B2,indirect,contextual_other,null,1
PMC5877612_caloric_restriction_and_its_effect_on_blood_pressure_heart_r,B2,indirect,cardiometabolic,null,1
PMC7729921_still_living_better_through_chemistry_an_update_on_caloric_r,B2,indirect,contextual_other,null,1
PMC7780671_caloric_restriction_in_female_reproduction_is_it_beneficial_,B2,indirect,longevity,unclear,1
PMC8288867_why_does_caloric_restriction_increase_life_and_healthspan_th,B2,indirect,contextual_other,null,1
PMC8308705_the_potential_of_calorie_restriction_and_calorie_restriction,B2,indirect,contextual_other,null,1
PMC9002823_the_role_of_intermittent_energy_restriction_diet_on_metaboli,B2,indirect,cardiometabolic,null,1
PMC9359127_restlessness_and_an_increased_urge_to_move_drive_for_activit,B2,indirect,contextual_other,null,1
